median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
95491,1453,2617,72,134,138,49,135,137,2014,0.2541077569736339,22071005602,22071,2014,375000.0,580000.0,54.0,501600.0,485000.0,150538.2004081789
71224,1263,1394,0,113,33,41,123,92,2014,0.2883787661406026,22071005603,22071,2014,285000.0,502000.0,42.0,419500.0,404500.0,150538.2004081789
43750,933,1708,0,8,0,0,0,0,2014,0.00468384074941452,22071001739,22071,2014,170000.0,220000.0,15.0,196900.0,185000.0,150538.2004081789
30275,909,1856,10,0,30,4,15,9,2014,0.036637931034482756,22071003304,22071,2014,135500.0,220000.0,12.0,186600.0,162000.0,150538.2004081789
28708,871,3343,43,168,31,4,81,24,2014,0.10499551301226444,22071003702,22071,2014,240000.0,475000.0,17.0,384900.0,435000.0,150538.2004081789
148281,1933,1758,56,18,16,3,14,33,2014,0.07963594994311718,22071007604,22071,2014,450000.0,650000.0,41.0,571500.0,550000.0,150538.2004081789
81875,1535,2270,24,57,82,110,131,87,2014,0.21629955947136564,22071005601,22071,2014,340000.0,560000.0,62.0,477100.0,479500.0,150538.2004081789
35256,978,2679,18,120,96,60,124,104,2014,0.1948488241881299,22071006500,22071,2014,216000.0,370000.0,23.0,311000.0,315000.0,150538.2004081789
129485,1721,2505,54,31,65,112,125,67,2014,0.1812375249500998,22071011700,22071,2014,855000.0,1500000.0,33.0,1193500.0,1200000.0,150538.2004081789
107386,1585,3604,51,92,29,100,40,28,2014,0.09433962264150944,22071013301,22071,2014,430000.0,728000.0,46.0,552400.0,512500.0,150538.2004081789
69868,1267,1833,3,94,79,59,66,116,2014,0.22749590834697217,22071011400,22071,2014,470000.0,743000.0,30.0,646500.0,582500.0,150538.2004081789
51667,1150,2660,46,157,75,101,105,108,2014,0.22255639097744362,22071005500,22071,2014,238500.0,347000.0,52.0,310300.0,295000.0,150538.2004081789
95250,1281,1537,21,139,49,15,149,60,2014,0.2817176317501627,22071005604,22071,2014,358500.0,479500.0,28.0,428400.0,393500.0,150538.2004081789
23047,848,1768,0,0,47,0,3,5,2014,0.031108597285067874,22071001402,22071,2014,85000.0,150000.0,11.0,114500.0,100000.0,150538.2004081789
54777,1306,3348,345,85,40,508,112,31,2014,0.33482676224611707,22071012101,22071,2014,446500.0,554500.0,20.0,604200.0,515500.0,150538.2004081789
36467,815,4626,0,0,0,0,40,0,2014,0.00864677907479464,22071001740,22071,2014,149000.0,175000.0,23.0,157800.0,157000.0,150538.2004081789
24956,982,1692,0,34,62,0,51,57,2014,0.12056737588652482,22071005000,22071,2014,235000.0,451000.0,16.0,359900.0,426000.0,150538.2004081789
41635,989,1703,4,13,19,0,0,11,2014,0.02759835584263065,22071002501,22071,2014,161000.0,220000.0,24.0,187900.0,181500.0,150538.2004081789
39219,1055,2325,63,204,108,24,87,110,2014,0.2563440860215054,22071006400,22071,2014,250000.0,330000.0,17.0,299800.0,285000.0,150538.2004081789
33125,893,4703,0,8,10,21,0,29,2014,0.014458856049330214,22071000604,22071,2014,88000.0,165000.0,11.0,127300.0,111000.0,150538.2004081789
30086,990,2170,0,0,25,0,0,0,2014,0.01152073732718894,22071002502,22071,2014,122000.0,178000.0,13.0,144200.0,151000.0,150538.2004081789
41595,952,1666,22,46,46,25,103,95,2014,0.20228091236494597,22071009700,22071,2014,310000.0,514000.0,34.0,412400.0,398500.0,150538.2004081789
20721,904,2867,16,0,3,18,15,24,2014,0.026508545517963028,22071010300,22071,2014,165000.0,243000.0,15.0,214700.0,215000.0,150538.2004081789
